 TIME                                    TempTop                                  TempBottom                               C_Load                                   C_Tmax                                   C_Tmin                                   C_All                                   
  +6.0899999999999999E+01   +6.0095903083793992E+01   +6.1764418548733659E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.0950000000000003E+01   +6.0080388932992655E+01   +6.1755250528973662E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.1000000000000000E+01   +6.0064913489174046E+01   +6.1746094156727992E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.1049999999999997E+01   +6.0049475929952095E+01   +6.1736948381574280E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.1100000000000001E+01   +6.0034074684581633E+01   +6.1727812461941291E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.1149999999999999E+01   +6.0018708934726071E+01   +6.1718686030423008E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.1200000000000003E+01   +6.0003378612905145E+01   +6.1709569093347930E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.1250000000000000E+01   +5.9988083651861103E+01   +6.1700461656994328E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.1299999999999997E+01   +5.9972823984557834E+01   +6.1691363727590584E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.1350000000000001E+01   +5.9957599544179914E+01   +6.1682275311315607E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.1399999999999999E+01   +5.9942410264131723E+01   +6.1673196414299184E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.1450000000000003E+01   +5.9927256078036521E+01   +6.1664127042622340E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.1500000000000000E+01   +5.9912136919735538E+01   +6.1655067202317710E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.1549999999999997E+01   +5.9897052723287125E+01   +6.1646016899369911E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.1600000000000001E+01   +5.9882003422965795E+01   +6.1636976139715877E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.1649999999999999E+01   +5.9866988953261377E+01   +6.1627944929245224E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.1700000000000003E+01   +5.9852009248878126E+01   +6.1618923273800611E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.1750000000000000E+01   +5.9837064244733817E+01   +6.1609911179178106E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.1799999999999997E+01   +5.9822153875958897E+01   +6.1600908651127483E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.1850000000000001E+01   +5.9807278077895596E+01   +6.1591915695352625E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.1899999999999999E+01   +5.9792436786097063E+01   +6.1582932317511840E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.1950000000000003E+01   +5.9777629936326491E+01   +6.1573958523218202E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.2000000000000000E+01   +5.9762857464556276E+01   +6.1564994318039894E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.2049999999999997E+01   +5.9748115556259393E+01   +6.1556037836586626E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.2100000000000001E+01   +5.9733396654136953E+01   +6.1547085344669036E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.2149999999999999E+01   +5.9718696961960958E+01   +6.1538134979142221E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +6.2200000000000003E+01   +5.9704016436816786E+01   +6.1529186745750671E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
